#name	radius	orbital_period	semi_major_axis	tperi	impact_parameter	star_name	ra	dec	mag_v
Kepler-1492b	0.133	16.75255007	nan	nan	nan	Kepler-1492	288.597097	41.03642	nan
Kepler-1493b	0.126	15.0217983	nan	nan	nan	Kepler-1493	288.549148	38.565232	nan
Kepler-1494b	0.274	91.080482	nan	nan	nan	Kepler-1494	282.657401	43.162518	nan
Kepler-1495b	0.262	85.273256	nan	nan	nan	Kepler-1495	286.130757	38.779631	nan
Kepler-1496b	0.198	64.6588017	nan	nan	nan	Kepler-1496	293.973936	45.350704	nan
Kepler-1497b	0.148	8.74199772	nan	nan	nan	Kepler-1497	296.19614	45.634331	nan
Kepler-1498b	0.119	48.051405	nan	nan	nan	Kepler-1498	284.77811	44.916782	nan
Kepler-1499b	0.106	44.2008	nan	nan	nan	Kepler-1499	283.986337	41.650406	nan
Kepler-15b	0.96	4.942782	0.05714	nan	0.554	Kepler-15	296.200595	49.140125	13.8
Kepler-150b	0.112	3.428054	0.044	nan	0.08	Kepler-150	288.234084	40.520905	nan
Kepler-150c	0.329	7.381998	0.073	nan	0.53	Kepler-150	288.234084	40.520905	nan
Kepler-150d	0.249	12.56093	0.104	nan	0.12	Kepler-150	288.234084	40.520905	nan
Kepler-150e	0.278	30.826557	0.189	nan	0.93	Kepler-150	288.234084	40.520905	nan
Kepler-150f	0.325	637.2093	1.24	nan	0	Kepler-150	288.234084	40.520905	nan
Kepler-1500b	0.107	15.0330105	nan	nan	nan	Kepler-1500	288.883334	39.744572	nan
Kepler-1501b	0.139	14.5564533	nan	nan	nan	Kepler-1501	289.918519	42.001431	nan
Kepler-1502b	0.284	41.7083629	nan	nan	nan	Kepler-1502	296.107919	39.319913	nan
Kepler-1503b	0.203	96.16987	nan	nan	nan	Kepler-1503	293.727175	42.806759	nan
Kepler-1504b	0.19	82.304003	nan	nan	nan	Kepler-1504	289.711993	50.128212	nan
Kepler-1505b	0.083	30.8609366	nan	nan	nan	Kepler-1505	292.002052	41.786961	nan
Kepler-1506b	0.118	14.0329154	nan	nan	nan	Kepler-1506	290.149884	41.464595	nan
Kepler-1507b	0.075	16.0506213	nan	nan	nan	Kepler-1507	288.561525	46.536053	nan
Kepler-1508b	0.119	20.7056504	nan	nan	nan	Kepler-1508	298.118885	40.375047	nan
Kepler-1509b	0.165	25.4338197	nan	nan	nan	Kepler-1509	283.797813	46.931004	nan
Kepler-151b	0.273	15.228958	0.116	nan	0.79	Kepler-151	292.162778	41.023235	nan
Kepler-151c	0.186	24.674612	0.16	nan	0.06	Kepler-151	292.162778	41.023235	nan
Kepler-1510b	0.3	84.703921	nan	nan	nan	Kepler-1510	298.959138	48.257824	nan
Kepler-1511b	0.15	23.2382792	nan	nan	nan	Kepler-1511	288.421218	43.179798	nan
Kepler-1512b	0.105	20.35972599	nan	nan	nan	Kepler-1512	289.274503	44.470253	nan
Kepler-1513b	0.755	160.8846509	nan	nan	nan	Kepler-1513	289.791634	39.285277	nan
Kepler-1514b	1.108	217.83184	0.753	2454981.75	0.169	Kepler-1514	292.627466	37.860133	nan
Kepler-1514c	0.105	10.514181	0.0997	2454956.9	0.47	Kepler-1514	292.627466	37.860133	nan
Kepler-1515b	0.852	214.3114164	nan	nan	nan	Kepler-1515	290.97393	48.178162	nan
Kepler-1516b	0.156	7.25931979	nan	nan	nan	Kepler-1516	291.494603	44.523502	nan
Kepler-1517b	0.871	5.54608367	nan	nan	nan	Kepler-1517	287.80722	43.188778	nan
Kepler-1518b	0.272	5.11177904	nan	nan	nan	Kepler-1518	300.332385	44.986137	nan
Kepler-1519b	0.63	240.7989397	nan	nan	nan	Kepler-1519	296.667903	49.461861	nan
Kepler-152b	0.249	18.207973	0.124	nan	0.03	Kepler-152	286.865479	41.989086	nan
Kepler-152c	0.213	88.255055	0.356	nan	0.25	Kepler-152	286.865479	41.989086	nan
Kepler-1520b	0.515	0.65355357	0.013	nan	nan	Kepler-1520	290.966214	51.504723	16
Kepler-1521b	0.223	47.14840805	nan	nan	nan	Kepler-1521	292.690301	37.835001	nan
Kepler-1522b	0.154	1.84788917	nan	nan	nan	Kepler-1522	289.843226	52.07016	nan
Kepler-1523b	0.141	0.93875077	nan	nan	nan	Kepler-1523	296.054062	45.827049	nan
Kepler-1524b	0.316	70.9674603	nan	nan	nan	Kepler-1524	293.885398	39.519818	nan
Kepler-1525b	0.081	2.41660118	nan	nan	nan	Kepler-1525	290.559517	49.943016	nan
Kepler-1526b	0.217	3.908632	nan	nan	nan	Kepler-1526	285.119706	38.866428	nan
Kepler-1527b	0.426	160.129918	nan	nan	nan	Kepler-1527	297.414414	46.060818	nan
Kepler-1528b	0.13	1.79111021	nan	nan	nan	Kepler-1528	287.402943	46.573986	nan
Kepler-1529b	0.187	5.33905686	nan	nan	nan	Kepler-1529	289.870716	41.040728	nan
Kepler-153b	0.261	18.870227	0.129	nan	0.03	Kepler-153	282.460522	48.257118	nan
Kepler-153c	0.226	46.90232	0.237	nan	0.29	Kepler-153	282.460522	48.257118	nan
Kepler-1530b	0.146	2.5904434	nan	nan	nan	Kepler-1530	288.162502	48.165154	nan
Kepler-1530c	0.147	5.3227406	nan	nan	nan	Kepler-1530	288.162502	48.165154	nan
Kepler-1531b	0.099	1.13854338	nan	nan	nan	Kepler-1531	285.146577	39.370798	nan
Kepler-1532b	0.12	1.09366356	nan	nan	nan	Kepler-1532	296.902813	41.198191	nan
Kepler-1533b	0.309	308.5471	nan	nan	nan	Kepler-1533	295.975556	44.713445	nan
Kepler-1534b	0.169	5.71668872	nan	nan	nan	Kepler-1534	292.395391	43.869072	nan
Kepler-1535b	0.227	138.9442	nan	nan	nan	Kepler-1535	286.613698	38.891969	nan
Kepler-1536b	0.28	364.758031	nan	nan	nan	Kepler-1536	291.585187	45.71579	nan
Kepler-1537b	0.105	1.4444538	nan	nan	nan	Kepler-1537	294.385398	43.82547	nan
Kepler-1538b	0.252	175.138819	nan	nan	nan	Kepler-1538	283.345714	45.274456	nan
Kepler-1539b	0.241	133.3036741	nan	nan	nan	Kepler-1539	284.219433	44.268543	nan
Kepler-154b	0.202	33.040532	0.198	nan	0.37	Kepler-154	289.780522	49.89653	nan
Kepler-154c	0.263	62.303276	0.303	nan	0.7	Kepler-154	289.780522	49.89653	nan
Kepler-154d	0.343	20.54981883	nan	nan	nan	Kepler-154	289.780522	49.89653	nan
Kepler-154e	0.134	3.93276465	nan	nan	nan	Kepler-154	289.780522	49.89653	nan
Kepler-154f	0.134	9.91935684	nan	nan	nan	Kepler-154	289.780522	49.89653	nan
Kepler-1540b	0.222	125.4131177	nan	nan	nan	Kepler-1540	283.344497	41.201741	nan
Kepler-1541b	0.103	8.40691199	nan	nan	nan	Kepler-1541	283.787004	48.029564	nan
Kepler-1542b	0.068	3.95116882	nan	nan	nan	Kepler-1542	285.728495	42.65453	nan
Kepler-1542c	0.058	2.89223021	nan	nan	nan	Kepler-1542	285.728495	42.65453	nan
Kepler-1542d	0.078	5.99273738	nan	nan	nan	Kepler-1542	285.728495	42.65453	nan
Kepler-1542e	0.068	5.10115756	nan	nan	nan	Kepler-1542	285.728495	42.65453	nan
Kepler-1543b	0.242	6.96710269	nan	nan	nan	Kepler-1543	297.124312	47.037025	nan
Kepler-1544b	0.159	168.811174	nan	nan	nan	Kepler-1544	297.28499	49.212456	nan
Kepler-1545b	0.241	163.692349	nan	nan	nan	Kepler-1545	298.898763	47.463093	nan
Kepler-1546b	0.279	19.5974971	nan	nan	nan	Kepler-1546	297.583942	41.541227	nan
Kepler-1547b	0.08	0.69297968	nan	nan	nan	Kepler-1547	283.764074	42.222172	nan
Kepler-1548b	0.236	124.828679	nan	nan	nan	Kepler-1548	287.471233	46.080666	nan
Kepler-1549b	0.229	214.886545	nan	nan	nan	Kepler-1549	286.052426	39.096053	nan
Kepler-155b	0.186	5.931194	0.056	nan	0.67	Kepler-155	288.495833	51.081947	nan
Kepler-155c	0.2	52.661793	0.242	nan	0.78	Kepler-155	288.495833	51.081947	nan
Kepler-1550b	0.269	225.582809	nan	nan	nan	Kepler-1550	287.76456	38.294704	nan
